2025-11-28 14:56:11,173 - INFO - Starting the embedding process...
2025-11-28 14:56:11,173 - INFO - Using device: cpu
2025-11-28 14:56:11,268 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 14:56:11,268 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 14:56:12,810 - INFO - Casting model to full precision for CPU...
2025-11-28 14:56:13,179 - INFO - Total sequences: 68876
2025-11-28 14:56:13,201 - INFO - Average sequence length: 442.2514954410825
2025-11-28 14:56:13,201 - INFO - Number of sequences > 1000: 6087
2025-11-28 14:56:34,801 - INFO - Processed sequence ID: index-33326, Length: 14
2025-11-28 14:56:34,877 - INFO - Processed sequence ID: index-33332, Length: 14
2025-11-28 14:56:34,953 - INFO - Processed sequence ID: index-38046, Length: 14
2025-11-28 14:56:35,029 - INFO - Processed sequence ID: index-40612, Length: 14
2025-11-28 14:56:35,105 - INFO - Processed sequence ID: index-40664, Length: 14
2025-11-28 14:56:35,180 - INFO - Processed sequence ID: index-41244, Length: 14
2025-11-28 14:56:35,257 - INFO - Processed sequence ID: index-41467, Length: 14
2025-11-28 14:56:35,335 - INFO - Processed sequence ID: index-42256, Length: 14
2025-11-28 14:56:35,410 - INFO - Processed sequence ID: index-42766, Length: 14
2025-11-28 14:56:35,486 - INFO - Processed sequence ID: index-42901, Length: 14
2025-11-28 14:56:35,563 - INFO - Processed sequence ID: index-43436, Length: 14
2025-11-28 14:56:35,641 - INFO - Processed sequence ID: index-44624, Length: 14
2025-11-28 14:56:35,720 - INFO - Processed sequence ID: index-44989, Length: 14
2025-11-28 14:56:35,798 - INFO - Processed sequence ID: index-45866, Length: 14
2025-11-28 14:56:35,874 - INFO - Processed sequence ID: index-46939, Length: 14
2025-11-28 14:56:35,950 - INFO - Processed sequence ID: index-46977, Length: 14
2025-11-28 14:56:36,025 - INFO - Processed sequence ID: index-49606, Length: 14
2025-11-28 14:56:36,101 - INFO - Processed sequence ID: index-50527, Length: 14
2025-11-28 14:56:36,177 - INFO - Processed sequence ID: index-51164, Length: 14
2025-11-28 14:56:36,252 - INFO - Processed sequence ID: index-51604, Length: 14
2025-11-28 14:56:36,327 - INFO - Processed sequence ID: index-52098, Length: 14
2025-11-28 14:56:36,404 - INFO - Processed sequence ID: index-52877, Length: 14
2025-11-28 14:56:36,482 - INFO - Processed sequence ID: index-54191, Length: 14
2025-11-28 14:56:36,559 - INFO - Processed sequence ID: index-54743, Length: 14
2025-11-28 14:56:36,634 - INFO - Processed sequence ID: index-55016, Length: 14
2025-11-28 14:56:36,710 - INFO - Processed sequence ID: index-55186, Length: 14
2025-11-28 14:56:36,785 - INFO - Processed sequence ID: index-61671, Length: 14
2025-11-28 14:56:36,861 - INFO - Processed sequence ID: index-63394, Length: 14
2025-11-28 14:56:36,936 - INFO - Processed sequence ID: index-66785, Length: 14
2025-11-28 14:56:37,044 - INFO - Processed sequence ID: index-26925, Length: 15
2025-11-28 14:56:37,133 - INFO - Processed sequence ID: index-27923, Length: 15
2025-11-28 14:56:37,223 - INFO - Processed sequence ID: index-28141, Length: 15
2025-11-28 14:56:37,338 - INFO - Processed sequence ID: index-32117, Length: 15
2025-11-28 14:56:37,428 - INFO - Processed sequence ID: index-34562, Length: 15
2025-11-28 14:56:37,541 - INFO - Processed sequence ID: index-34585, Length: 15
2025-11-28 14:56:37,632 - INFO - Processed sequence ID: index-39575, Length: 15
2025-11-28 14:56:37,753 - INFO - Processed sequence ID: index-40352, Length: 15
2025-11-28 14:56:37,848 - INFO - Processed sequence ID: index-43265, Length: 15
2025-11-28 14:56:37,958 - INFO - Processed sequence ID: index-43305, Length: 15
2025-11-28 14:56:38,049 - INFO - Processed sequence ID: index-43419, Length: 15
2025-11-28 14:56:38,163 - INFO - Processed sequence ID: index-43448, Length: 15
2025-11-28 14:56:38,282 - INFO - Processed sequence ID: index-45347, Length: 15
2025-11-28 14:56:38,377 - INFO - Processed sequence ID: index-46115, Length: 15
2025-11-28 14:56:38,486 - INFO - Processed sequence ID: index-46255, Length: 15
2025-11-28 14:56:38,600 - INFO - Processed sequence ID: index-47119, Length: 15
2025-11-28 14:56:38,688 - INFO - Processed sequence ID: index-47743, Length: 15
2025-11-28 14:56:38,776 - INFO - Processed sequence ID: index-48855, Length: 15
2025-11-28 14:56:38,864 - INFO - Processed sequence ID: index-49602, Length: 15
2025-11-28 14:56:38,952 - INFO - Processed sequence ID: index-50357, Length: 15
2025-11-28 14:56:39,040 - INFO - Processed sequence ID: index-50381, Length: 15
2025-11-28 14:56:39,128 - INFO - Processed sequence ID: index-50800, Length: 15
2025-11-28 14:56:39,221 - INFO - Processed sequence ID: index-51827, Length: 15
2025-11-28 14:56:39,313 - INFO - Processed sequence ID: index-51877, Length: 15
2025-11-28 14:56:39,401 - INFO - Processed sequence ID: index-52742, Length: 15
2025-11-28 14:56:39,489 - INFO - Processed sequence ID: index-55046, Length: 15
2025-11-28 14:56:39,577 - INFO - Processed sequence ID: index-56253, Length: 15
2025-11-28 14:56:39,665 - INFO - Processed sequence ID: index-56273, Length: 15
2025-11-28 14:56:39,753 - INFO - Processed sequence ID: index-56669, Length: 15
2025-11-28 14:56:39,842 - INFO - Processed sequence ID: index-57769, Length: 15
2025-11-28 14:56:39,930 - INFO - Processed sequence ID: index-58677, Length: 15
2025-11-28 14:56:40,018 - INFO - Processed sequence ID: index-59093, Length: 15
2025-11-28 14:56:40,106 - INFO - Processed sequence ID: index-59558, Length: 15
2025-11-28 14:56:40,194 - INFO - Processed sequence ID: index-60935, Length: 15
2025-11-28 14:56:40,282 - INFO - Processed sequence ID: index-62516, Length: 15
2025-11-28 14:56:40,372 - INFO - Processed sequence ID: index-63062, Length: 15
2025-11-28 14:56:40,461 - INFO - Processed sequence ID: index-65715, Length: 15
2025-11-28 14:56:40,553 - INFO - Processed sequence ID: index-26398, Length: 16
2025-11-28 14:56:40,643 - INFO - Processed sequence ID: index-26700, Length: 16
2025-11-28 14:56:40,734 - INFO - Processed sequence ID: index-34722, Length: 16
2025-11-28 14:56:40,826 - INFO - Processed sequence ID: index-36414, Length: 16
2025-11-28 14:56:40,918 - INFO - Processed sequence ID: index-39401, Length: 16
2025-11-28 14:56:41,007 - INFO - Processed sequence ID: index-39819, Length: 16
2025-11-28 14:56:41,096 - INFO - Processed sequence ID: index-40771, Length: 16
2025-11-28 14:56:41,214 - INFO - Processed sequence ID: index-42300, Length: 16
2025-11-28 14:56:41,308 - INFO - Processed sequence ID: index-45831, Length: 16
2025-11-28 14:56:41,424 - INFO - Processed sequence ID: index-46138, Length: 16
2025-11-28 14:56:41,537 - INFO - Processed sequence ID: index-49310, Length: 16
2025-11-28 14:56:41,657 - INFO - Processed sequence ID: index-49385, Length: 16
2025-11-28 14:56:41,765 - INFO - Processed sequence ID: index-49487, Length: 16
2025-11-28 14:56:41,859 - INFO - Processed sequence ID: index-50346, Length: 16
2025-11-28 14:56:41,973 - INFO - Processed sequence ID: index-51830, Length: 16
